"","shipmode","sales","quantity","discount","profit","segment","region","state","subcategory","category","orderdate_day","orderdate_weekday","orderdate_month","orderdate_year","shipdate_day","shipdate_weekday","shipdate_month","shipdate_year","preparationtime"
"3862","Standard Class",24.816,3,0.2,8.3754,"Consumer","East","New York","Binders                                           ","Office Supplies",17,"Samstag",12,2016,23,"Freitag",12,2016,6
"3863","Standard Class",41.36,5,0.2,13.959,"Consumer","West","California","Binders                                           ","Office Supplies",28,"Donnerstag",8,2014,4,"Donnerstag",9,2014,7
"3864","Standard Class",33.088,4,0.2,11.1672,"Consumer","West","Utah","Binders                                           ","Office Supplies",14,"Donnerstag",3,2013,19,"Dienstag",3,2013,5
"3865","Second Class",49.632,6,0.2,16.7508,"Consumer","East","New York","Binders                                           ","Office Supplies",5,"Dienstag",3,2013,8,"Freitag",3,2013,3
"3866","Standard Class",8.272,4,0.8,-13.6488,"Corporate","Central","Texas","Binders                                           ","Office Supplies",12,"Freitag",6,2015,18,"Donnerstag",6,2015,6
"3867","Same Day",58.408,7,0.2,18.2525,"Home Office","East","New York","Binders                                           ","Office Supplies",19,"Samstag",11,2016,19,"Samstag",11,2016,0
"3868","First Class",25.032,3,0.2,7.8225,"Corporate","West","Washington","Binders                                           ","Office Supplies",17,"Mittwoch",9,2014,20,"Samstag",9,2014,3
"3869","Standard Class",25.032,3,0.2,7.8225,"Corporate","West","California","Binders                                           ","Office Supplies",28,"Mittwoch",10,2015,3,"Dienstag",11,2015,6
"3870","Standard Class",20.86,2,0,9.387,"Corporate","East","Maryland","Binders                                           ","Office Supplies",28,"Sonntag",4,2013,3,"Freitag",5,2013,5
"3871","First Class",6.258,2,0.7,-5.215,"Consumer","East","Ohio","Binders                                           ","Office Supplies",9,"Freitag",9,2016,10,"Samstag",9,2016,1
"3872","Standard Class",33.376,4,0.2,10.43,"Home Office","East","New York","Binders                                           ","Office Supplies",16,"Freitag",12,2016,23,"Freitag",12,2016,7
"3873","Second Class",41.72,5,0.2,13.0375,"Consumer","West","California","Binders                                           ","Office Supplies",15,"Samstag",2,2014,18,"Dienstag",2,2014,3
"3874","Standard Class",41.72,5,0.2,13.0375,"Home Office","West","Utah","Binders                                           ","Office Supplies",16,"Freitag",10,2015,22,"Donnerstag",10,2015,6
"3875","Standard Class",10.43,5,0.8,-18.2525,"Consumer","Central","Illinois","Binders                                           ","Office Supplies",24,"Sonntag",4,2016,30,"Samstag",4,2016,6
"3876","First Class",25.032,3,0.2,7.8225,"Corporate","West","California","Binders                                           ","Office Supplies",13,"Samstag",9,2014,15,"Montag",9,2014,2
"3877","Second Class",4.368,2,0.7,-3.0576,"Consumer","East","Ohio","Binders                                           ","Office Supplies",4,"Sonntag",9,2016,9,"Freitag",9,2016,5
"3878","Second Class",17.472,3,0.2,6.3336,"Consumer","East","New York","Binders                                           ","Office Supplies",7,"Donnerstag",7,2016,9,"Samstag",7,2016,2
"3879","Standard Class",43.68,6,0,21.4032,"Consumer","East","Maryland","Binders                                           ","Office Supplies",9,"Mittwoch",7,2014,14,"Montag",7,2014,5
"3880","Standard Class",29.12,4,0,14.2688,"Home Office","Central","Indiana","Binders                                           ","Office Supplies",16,"Samstag",11,2013,21,"Donnerstag",11,2013,5
"3881","Second Class",11.648,2,0.2,4.2224,"Consumer","West","California","Binders                                           ","Office Supplies",16,"Freitag",1,2015,20,"Dienstag",1,2015,4
"3882","Standard Class",8.736,4,0.7,-6.1152,"Consumer","West","Colorado","Binders                                           ","Office Supplies",9,"Donnerstag",7,2015,13,"Montag",7,2015,4
"3883","Second Class",20.232,8,0.7,-16.1856,"Corporate","South","Florida","Binders                                           ","Office Supplies",18,"Freitag",11,2016,23,"Mittwoch",11,2016,5
"3884","Second Class",33.72,4,0,15.5112,"Consumer","Central","Michigan","Binders                                           ","Office Supplies",9,"Freitag",12,2016,11,"Sonntag",12,2016,2
"3885","Standard Class",26.976,4,0.2,8.7672,"Corporate","West","Washington","Binders                                           ","Office Supplies",21,"Mittwoch",5,2014,25,"Sonntag",5,2014,4
"3886","First Class",26.976,4,0.2,8.7672,"Corporate","West","California","Binders                                           ","Office Supplies",8,"Sonntag",11,2015,10,"Dienstag",11,2015,2
"3887","Standard Class",6.744,4,0.8,-11.4648,"Consumer","Central","Texas","Binders                                           ","Office Supplies",18,"Donnerstag",8,2016,22,"Montag",8,2016,4
"3888","Standard Class",47.208,7,0.2,15.3426,"Consumer","West","Washington","Binders                                           ","Office Supplies",7,"Montag",12,2015,13,"Sonntag",12,2015,6
"3889","Same Day",12.645,5,0.7,-10.116,"Consumer","South","Florida","Binders                                           ","Office Supplies",31,"Sonntag",3,2013,31,"Sonntag",3,2013,0
"3890","Standard Class",13.488,2,0.2,4.3836,"Corporate","West","New Mexico","Binders                                           ","Office Supplies",18,"Freitag",12,2015,24,"Donnerstag",12,2015,6
"3891","Standard Class",20.232,3,0.2,6.5754,"Home Office","West","California","Binders                                           ","Office Supplies",20,"Freitag",9,2013,26,"Donnerstag",9,2013,6
"3892","First Class",22.428,3,0.7,-17.9424,"Corporate","East","Ohio","Binders                                           ","Office Supplies",1,"Freitag",11,2013,3,"Sonntag",11,2013,2
"3893","Standard Class",22.428,3,0.7,-17.9424,"Home Office","East","Ohio","Binders                                           ","Office Supplies",12,"Samstag",9,2015,18,"Freitag",9,2015,6
"3894","Standard Class",59.808,3,0.2,19.4376,"Home Office","West","Utah","Binders                                           ","Office Supplies",2,"Sonntag",6,2013,7,"Freitag",6,2013,5
"3895","Second Class",7.476,1,0.7,-5.9808,"Corporate","East","Pennsylvania","Binders                                           ","Office Supplies",23,"Mittwoch",11,2016,26,"Samstag",11,2016,3
"3896","Standard Class",74.76,3,0,34.3896,"Home Office","Central","Minnesota","Binders                                           ","Office Supplies",10,"Montag",11,2014,14,"Freitag",11,2014,4
"3897","Standard Class",99.68,5,0.2,32.396,"Home Office","West","Washington","Binders                                           ","Office Supplies",28,"Sonntag",8,2016,3,"Samstag",9,2016,6
"3898","Standard Class",59.808,3,0.2,19.4376,"Consumer","West","Washington","Binders                                           ","Office Supplies",7,"Montag",12,2015,13,"Sonntag",12,2015,6
"3899","Standard Class",14.952,2,0.7,-11.9616,"Corporate","West","Colorado","Binders                                           ","Office Supplies",31,"Sonntag",5,2015,5,"Freitag",6,2015,5
"3900","Standard Class",14.952,2,0.7,-11.9616,"Consumer","East","Ohio","Binders                                           ","Office Supplies",14,"Freitag",2,2014,19,"Mittwoch",2,2014,5
"3901","Same Day",44.856,6,0.7,-35.8848,"Home Office","West","Arizona","Binders                                           ","Office Supplies",11,"Samstag",7,2015,12,"Sonntag",7,2015,1
"3902","First Class",4.984,1,0.8,-8.4728,"Consumer","Central","Texas","Binders                                           ","Office Supplies",27,"Freitag",12,2013,30,"Montag",12,2013,3
"3903","Standard Class",39.872,2,0.2,12.9584,"Consumer","West","California","Binders                                           ","Office Supplies",12,"Samstag",9,2015,18,"Freitag",9,2015,6
"3904","Standard Class",33.93,3,0.7,-22.62,"Home Office","East","Ohio","Binders                                           ","Office Supplies",21,"Donnerstag",7,2016,26,"Dienstag",7,2016,5
"3905","First Class",90.48,3,0.2,33.93,"Home Office","West","California","Binders                                           ","Office Supplies",24,"Samstag",12,2016,25,"Sonntag",12,2016,1
"3906","Standard Class",113.1,3,0,56.55,"Home Office","South","Virginia","Binders                                           ","Office Supplies",9,"Montag",6,2014,15,"Sonntag",6,2014,6
"3907","Same Day",67.86,6,0.7,-45.24,"Consumer","West","Arizona","Binders                                           ","Office Supplies",2,"Freitag",12,2016,2,"Freitag",12,2016,0
"3908","Standard Class",90.48,3,0.2,33.93,"Corporate","East","New York","Binders                                           ","Office Supplies",3,"Sonntag",5,2015,7,"Donnerstag",5,2015,4
"3909","Standard Class",90.48,3,0.2,33.93,"Corporate","West","California","Binders                                           ","Office Supplies",8,"Donnerstag",12,2016,14,"Mittwoch",12,2016,6
"3910","Standard Class",22.62,2,0.7,-15.08,"Corporate","West","Colorado","Binders                                           ","Office Supplies",31,"Sonntag",5,2015,5,"Freitag",6,2015,5
"3911","Standard Class",150.8,5,0.2,56.55,"Consumer","West","Washington","Binders                                           ","Office Supplies",21,"Montag",11,2016,25,"Freitag",11,2016,4
"3912","First Class",45.24,4,0.7,-30.16,"Home Office","West","Oregon","Binders                                           ","Office Supplies",19,"Samstag",12,2015,22,"Dienstag",12,2015,3
"3913","First Class",15.08,2,0.8,-22.62,"Consumer","Central","Illinois","Binders                                           ","Office Supplies",27,"Samstag",9,2014,29,"Montag",9,2014,2
"3914","Standard Class",180.96,6,0.2,67.86,"Home Office","West","California","Binders                                           ","Office Supplies",5,"Freitag",7,2013,11,"Donnerstag",7,2013,6
"3915","Standard Class",5.328,2,0.7,-3.552,"Home Office","South","Florida","Binders                                           ","Office Supplies",7,"Donnerstag",4,2016,12,"Dienstag",4,2016,5
"3916","Standard Class",21.312,3,0.2,7.992,"Corporate","West","Idaho","Binders                                           ","Office Supplies",24,"Samstag",12,2016,30,"Freitag",12,2016,6
"3917","Standard Class",18.648,7,0.7,-12.432,"Corporate","South","North Carolina","Binders                                           ","Office Supplies",13,"Freitag",9,2013,17,"Dienstag",9,2013,4
"3918","Standard Class",8.88,5,0.8,-13.32,"Consumer","Central","Texas","Binders                                           ","Office Supplies",26,"Freitag",7,2013,30,"Dienstag",7,2013,4
"3919","Second Class",17.76,2,0,8.88,"Consumer","South","Virginia","Binders                                           ","Office Supplies",27,"Sonntag",3,2016,29,"Dienstag",3,2016,2
"3920","Second Class",127.96,2,0,60.1412,"Home Office","Central","Kansas","Binders                                           ","Office Supplies",25,"Sonntag",5,2014,27,"Dienstag",5,2014,2
"3921","Second Class",76.776,4,0.7,-58.8616,"Consumer","East","Ohio","Binders                                           ","Office Supplies",19,"Montag",8,2013,21,"Mittwoch",8,2013,2
"3922","Standard Class",95.97,5,0.7,-73.577,"Consumer","South","North Carolina","Binders                                           ","Office Supplies",3,"Mittwoch",12,2014,7,"Sonntag",12,2014,4
"3923","Standard Class",57.582,3,0.7,-44.1462,"Corporate","South","Florida","Binders                                           ","Office Supplies",15,"Freitag",5,2015,20,"Mittwoch",5,2015,5
"3924","Second Class",447.86,7,0,210.4942,"Consumer","East","Massachusetts","Binders                                           ","Office Supplies",8,"Freitag",8,2014,10,"Sonntag",8,2014,2
"3925","Standard Class",563.024,11,0.2,190.0206,"Consumer","West","Washington","Binders                                           ","Office Supplies",13,"Sonntag",11,2016,18,"Freitag",11,2016,5
"3926","First Class",76.776,4,0.7,-58.8616,"Home Office","West","Colorado","Binders                                           ","Office Supplies",28,"Mittwoch",9,2016,1,"Samstag",10,2016,3
"3927","Standard Class",153.552,3,0.2,51.8238,"Consumer","West","Washington","Binders                                           ","Office Supplies",11,"Freitag",12,2015,18,"Freitag",12,2015,7
"3928","Standard Class",511.84,8,0,240.5648,"Home Office","South","Mississippi","Binders                                           ","Office Supplies",16,"Samstag",5,2015,21,"Donnerstag",5,2015,5
"3929","Standard Class",153.552,3,0.2,51.8238,"Corporate","West","California","Binders                                           ","Office Supplies",25,"Sonntag",12,2016,29,"Donnerstag",12,2016,4
"3930","First Class",64.14,3,0,30.7872,"Consumer","South","Arkansas","Binders                                           ","Office Supplies",7,"Sonntag",6,2015,8,"Montag",6,2015,1
"3931","First Class",51.312,3,0.2,17.9592,"Consumer","West","California","Binders                                           ","Office Supplies",17,"Freitag",6,2016,20,"Montag",6,2016,3
"3932","Standard Class",222.352,13,0.2,77.8232,"Corporate","East","New York","Binders                                           ","Office Supplies",7,"Montag",12,2015,13,"Sonntag",12,2015,6
"3933","Second Class",8.552,2,0.8,-13.6832,"Corporate","Central","Texas","Binders                                           ","Office Supplies",14,"Samstag",9,2013,18,"Mittwoch",9,2013,4
"3934","Standard Class",8.856,9,0.8,-14.1696,"Home Office","Central","Texas","Binders                                           ","Office Supplies",9,"Montag",3,2015,13,"Freitag",3,2015,4
"3935","Standard Class",7.38,5,0.7,-5.412,"Home Office","South","North Carolina","Binders                                           ","Office Supplies",2,"Donnerstag",10,2014,6,"Montag",10,2014,4
"3936","Standard Class",2.952,2,0.7,-2.1648,"Corporate","South","Florida","Binders                                           ","Office Supplies",18,"Montag",5,2015,22,"Freitag",5,2015,4
"3937","Standard Class",19.68,5,0.2,6.888,"Corporate","West","California","Binders                                           ","Office Supplies",16,"Mittwoch",3,2016,21,"Montag",3,2016,5
"3938","Standard Class",9.84,2,0,4.7232,"Consumer","East","Connecticut","Binders                                           ","Office Supplies",29,"Montag",2,2016,6,"Sonntag",3,2016,6
"3939","First Class",11.808,3,0.2,4.1328,"Consumer","West","California","Binders                                           ","Office Supplies",2,"Donnerstag",10,2014,3,"Freitag",10,2014,1
"3940","Standard Class",11.808,3,0.2,4.1328,"Corporate","West","California","Binders                                           ","Office Supplies",4,"Sonntag",9,2016,8,"Donnerstag",9,2016,4
"3941","Standard Class",8.856,6,0.7,-6.4944,"Consumer","East","Ohio","Binders                                           ","Office Supplies",6,"Sonntag",9,2015,12,"Samstag",9,2015,6
"3942","Second Class",11.808,8,0.7,-8.6592,"Consumer","East","Ohio","Binders                                           ","Office Supplies",18,"Montag",11,2013,23,"Samstag",11,2013,5
"3943","Standard Class",19.68,5,0.2,6.888,"Corporate","West","Washington","Binders                                           ","Office Supplies",24,"Sonntag",1,2016,29,"Freitag",1,2016,5
"3944","First Class",10.68,2,0,5.0196,"Corporate","Central","South Dakota","Binders                                           ","Office Supplies",26,"Samstag",1,2013,29,"Dienstag",1,2013,3
"3945","Second Class",9.612,6,0.7,-7.3692,"Consumer","West","Colorado","Binders                                           ","Office Supplies",20,"Donnerstag",11,2014,23,"Sonntag",11,2014,3
"3946","Standard Class",53.4,10,0,25.098,"Consumer","Central","Minnesota","Binders                                           ","Office Supplies",17,"Sonntag",3,2013,24,"Sonntag",3,2013,7
"3947","Standard Class",26.7,5,0,12.549,"Home Office","Central","Missouri","Binders                                           ","Office Supplies",2,"Freitag",8,2013,8,"Donnerstag",8,2013,6
"3948","Second Class",21.336,7,0.2,7.7343,"Corporate","West","California","Binders                                           ","Office Supplies",12,"Freitag",2,2016,15,"Montag",2,2016,3
"3949","Standard Class",6.096,2,0.2,2.2098,"Home Office","West","Montana","Binders                                           ","Office Supplies",19,"Freitag",7,2013,24,"Mittwoch",7,2013,5
"3950","Standard Class",6.096,2,0.2,2.2098,"Corporate","West","California","Binders                                           ","Office Supplies",14,"Montag",12,2015,21,"Montag",12,2015,7
"3951","Second Class",18.288,6,0.2,6.6294,"Consumer","West","Washington","Binders                                           ","Office Supplies",11,"Samstag",6,2016,13,"Montag",6,2016,2
"3952","Standard Class",8.001,7,0.7,-5.6007,"Consumer","East","Pennsylvania","Binders                                           ","Office Supplies",1,"Donnerstag",12,2016,5,"Montag",12,2016,4
"3953","First Class",41.568,6,0.8,-66.5088,"Home Office","Central","Texas","Binders                                           ","Office Supplies",13,"Sonntag",7,2014,15,"Dienstag",7,2014,2
"3954","Second Class",242.48,7,0,116.3904,"Consumer","East","Massachusetts","Binders                                           ","Office Supplies",15,"Donnerstag",9,2016,17,"Samstag",9,2016,2
"3955","First Class",6.928,1,0.8,-11.0848,"Consumer","Central","Texas","Binders                                           ","Office Supplies",22,"Freitag",11,2013,25,"Montag",11,2013,3
"3956","Standard Class",138.56,4,0,66.5088,"Corporate","Central","Michigan","Binders                                           ","Office Supplies",1,"Samstag",6,2013,6,"Donnerstag",6,2013,5
"3957","Standard Class",55.424,2,0.2,19.3984,"Consumer","West","Washington","Binders                                           ","Office Supplies",1,"Montag",12,2014,8,"Montag",12,2014,7
"3958","First Class",69.28,2,0,33.2544,"Home Office","East","Delaware","Binders                                           ","Office Supplies",7,"Freitag",3,2014,10,"Montag",3,2014,3
"3959","Standard Class",26.16,4,0,12.8184,"Corporate","South","Alabama","Binders                                           ","Office Supplies",19,"Donnerstag",5,2016,23,"Montag",5,2016,4
"3960","First Class",9.81,5,0.7,-6.867,"Corporate","South","Florida","Binders                                           ","Office Supplies",5,"Freitag",7,2013,8,"Montag",7,2013,3
"3961","First Class",5.232,4,0.8,-8.1096,"Home Office","Central","Texas","Binders                                           ","Office Supplies",2,"Samstag",7,2016,5,"Dienstag",7,2016,3
"3962","Second Class",20.928,4,0.2,7.5864,"Corporate","West","California","Binders                                           ","Office Supplies",20,"Donnerstag",10,2016,22,"Samstag",10,2016,2
"3963","Standard Class",7.16,2,0,3.4368,"Consumer","South","Georgia","Binders                                           ","Office Supplies",14,"Samstag",9,2013,19,"Donnerstag",9,2013,5
"3964","First Class",5.728,2,0.2,2.0048,"Corporate","West","Nevada","Binders                                           ","Office Supplies",6,"Mittwoch",5,2015,7,"Donnerstag",5,2015,1
"3965","Standard Class",7.16,2,0,3.4368,"Consumer","East","Connecticut","Binders                                           ","Office Supplies",29,"Sonntag",11,2015,3,"Donnerstag",12,2015,4
"3966","Same Day",10.74,3,0,5.1552,"Home Office","Central","Indiana","Binders                                           ","Office Supplies",9,"Sonntag",11,2014,9,"Sonntag",11,2014,0
"3967","Standard Class",31.504,11,0.2,11.0264,"Consumer","West","California","Binders                                           ","Office Supplies",12,"Donnerstag",11,2015,17,"Dienstag",11,2015,5
"3968","Second Class",2.864,4,0.8,-4.5824,"Corporate","Central","Illinois","Binders                                           ","Office Supplies",21,"Donnerstag",7,2016,24,"Sonntag",7,2016,3
"3969","Second Class",7.16,2,0,3.4368,"Corporate","South","Alabama","Binders                                           ","Office Supplies",27,"Mittwoch",1,2016,1,"Montag",2,2016,5
"3970","Standard Class",5.728,8,0.8,-9.1648,"Corporate","Central","Texas","Binders                                           ","Office Supplies",1,"Sonntag",6,2014,5,"Donnerstag",6,2014,4
"3971","Standard Class",62.296,13,0.2,21.0249,"Consumer","East","New York","Binders                                           ","Office Supplies",17,"Donnerstag",4,2014,23,"Mittwoch",4,2014,6
"3972","Standard Class",28.752,6,0.2,9.7038,"Consumer","West","California","Binders                                           ","Office Supplies",5,"Freitag",9,2014,9,"Dienstag",9,2014,4
"3973","Standard Class",14.376,3,0.2,4.8519,"Consumer","East","New York","Binders                                           ","Office Supplies",24,"Samstag",12,2016,28,"Mittwoch",12,2016,4
"3974","Standard Class",19.168,4,0.2,6.4692,"Corporate","West","California","Binders                                           ","Office Supplies",12,"Donnerstag",5,2016,18,"Mittwoch",5,2016,6
"3975","Second Class",4.752,1,0.2,1.6038,"Consumer","West","California","Binders                                           ","Office Supplies",1,"Montag",9,2014,4,"Donnerstag",9,2014,3
"3976","Standard Class",1.188,1,0.8,-1.9602,"Consumer","Central","Texas","Binders                                           ","Office Supplies",23,"Montag",5,2016,27,"Freitag",5,2016,4
"3977","Standard Class",52.272,11,0.2,17.6418,"Consumer","East","New York","Binders                                           ","Office Supplies",8,"Samstag",11,2014,13,"Donnerstag",11,2014,5
"3978","Standard Class",33.264,7,0.2,11.2266,"Consumer","East","New York","Binders                                           ","Office Supplies",28,"Mittwoch",12,2016,4,"Mittwoch",1,2017,7
"3979","First Class",61.776,13,0.2,20.8494,"Consumer","West","California","Binders                                           ","Office Supplies",1,"Samstag",10,2016,2,"Sonntag",10,2016,1
"3980","Standard Class",3.264,2,0.7,-2.2848,"Corporate","South","Tennessee","Binders                                           ","Office Supplies",25,"Donnerstag",9,2014,2,"Donnerstag",10,2014,7
"3981","Second Class",4.896,3,0.7,-3.4272,"Consumer","West","Colorado","Binders                                           ","Office Supplies",20,"Donnerstag",11,2014,23,"Sonntag",11,2014,3
"3982","First Class",4.896,3,0.7,-3.4272,"Home Office","East","Pennsylvania","Binders                                           ","Office Supplies",14,"Mittwoch",5,2014,17,"Samstag",5,2014,3
"3983","Standard Class",8.16,5,0.7,-5.712,"Consumer","West","Arizona","Binders                                           ","Office Supplies",23,"Dienstag",7,2013,27,"Samstag",7,2013,4
"3984","Second Class",4.896,3,0.7,-3.4272,"Consumer","East","Pennsylvania","Binders                                           ","Office Supplies",26,"Sonntag",4,2015,30,"Donnerstag",4,2015,4
"3985","Standard Class",6.528,4,0.7,-4.5696,"Corporate","East","Ohio","Binders                                           ","Office Supplies",25,"Sonntag",8,2013,30,"Freitag",8,2013,5
"3986","First Class",8.704,2,0.2,3.1552,"Consumer","West","California","Binders                                           ","Office Supplies",20,"Samstag",7,2013,22,"Montag",7,2013,2
"3987","Standard Class",117.488,7,0.2,41.1208,"Consumer","West","California","Binders                                           ","Office Supplies",27,"Sonntag",11,2016,2,"Freitag",12,2016,5
"3988","Second Class",67.136,4,0.2,23.4976,"Home Office","West","California","Binders                                           ","Office Supplies",9,"Mittwoch",9,2015,11,"Freitag",9,2015,2
"3989","Standard Class",18.882,3,0.7,-13.8468,"Consumer","West","Colorado","Binders                                           ","Office Supplies",16,"Sonntag",8,2015,22,"Samstag",8,2015,6
"3990","Second Class",33.568,2,0.2,11.7488,"Consumer","East","New York","Binders                                           ","Office Supplies",14,"Sonntag",6,2015,17,"Mittwoch",6,2015,3
"3991","Standard Class",104.9,5,0,50.352,"Home Office","Central","Indiana","Binders                                           ","Office Supplies",6,"Freitag",11,2015,11,"Mittwoch",11,2015,5
"3992","Standard Class",146.86,7,0,70.4928,"Consumer","Central","Michigan","Binders                                           ","Office Supplies",20,"Mittwoch",4,2016,24,"Sonntag",4,2016,4
"3993","First Class",62.94,3,0,30.2112,"Consumer","East","Connecticut","Binders                                           ","Office Supplies",15,"Donnerstag",8,2013,18,"Sonntag",8,2013,3
"3994","Standard Class",62.94,3,0,30.2112,"Consumer","South","Alabama","Binders                                           ","Office Supplies",30,"Mittwoch",9,2015,4,"Sonntag",10,2015,4
"3995","Standard Class",12.588,3,0.8,-20.1408,"Consumer","Central","Texas","Binders                                           ","Office Supplies",6,"Freitag",11,2015,10,"Dienstag",11,2015,4
"3996","Standard Class",125.88,6,0,60.4224,"Consumer","Central","Indiana","Binders                                           ","Office Supplies",5,"Freitag",8,2016,9,"Dienstag",8,2016,4
"3997","Second Class",23.88,6,0,11.2236,"Consumer","South","South Carolina","Binders                                           ","Office Supplies",21,"Mittwoch",12,2016,26,"Montag",12,2016,5
"3998","Standard Class",15.92,5,0.2,5.373,"Corporate","West","Washington","Binders                                           ","Office Supplies",1,"Donnerstag",12,2016,6,"Dienstag",12,2016,5
"3999","Standard Class",7.96,2,0,3.7412,"Corporate","East","Connecticut","Binders                                           ","Office Supplies",18,"Donnerstag",6,2015,23,"Dienstag",6,2015,5
"4000","Standard Class",5.97,5,0.7,-4.577,"Consumer","South","Tennessee","Binders                                           ","Office Supplies",15,"Freitag",1,2016,19,"Dienstag",1,2016,4
"4001","Standard Class",6.368,2,0.2,2.1492,"Consumer","West","Washington","Binders                                           ","Office Supplies",2,"Samstag",8,2014,6,"Mittwoch",8,2014,4
"4002","Second Class",7.96,2,0,3.7412,"Consumer","East","New Jersey","Binders                                           ","Office Supplies",29,"Montag",6,2015,1,"Mittwoch",7,2015,2
"4003","First Class",3.98,5,0.8,-6.567,"Consumer","Central","Illinois","Binders                                           ","Office Supplies",5,"Mittwoch",8,2015,6,"Donnerstag",8,2015,1
"4004","First Class",3.24,9,0.8,-5.184,"Corporate","Central","Illinois","Binders                                           ","Office Supplies",29,"Montag",8,2016,1,"Donnerstag",9,2016,3
"4005","Standard Class",1.08,3,0.8,-1.728,"Consumer","Central","Texas","Binders                                           ","Office Supplies",16,"Samstag",2,2013,21,"Donnerstag",2,2013,5
"4006","Standard Class",1.8,5,0.8,-2.88,"Corporate","Central","Illinois","Binders                                           ","Office Supplies",20,"Sonntag",12,2015,25,"Freitag",12,2015,5
"4007","Standard Class",5.4,3,0,2.592,"Corporate","East","Maryland","Binders                                           ","Office Supplies",23,"Donnerstag",7,2015,27,"Montag",7,2015,4
"4008","First Class",3.6,2,0,1.728,"Home Office","Central","Wisconsin","Binders                                           ","Office Supplies",2,"Samstag",1,2016,3,"Sonntag",1,2016,1
"4009","Standard Class",1.08,2,0.7,-0.792,"Consumer","West","Oregon","Binders                                           ","Office Supplies",9,"Samstag",7,2016,15,"Freitag",7,2016,6
"4010","Standard Class",10.08,7,0.2,3.528,"Consumer","West","New Mexico","Binders                                           ","Office Supplies",18,"Sonntag",9,2016,22,"Donnerstag",9,2016,4
"4011","Second Class",5.4,3,0,2.592,"Home Office","Central","Iowa","Binders                                           ","Office Supplies",11,"Sonntag",12,2016,14,"Mittwoch",12,2016,3
"4012","Standard Class",12.96,9,0.2,4.536,"Consumer","East","New York","Binders                                           ","Office Supplies",14,"Sonntag",9,2014,18,"Donnerstag",9,2014,4
"4013","Standard Class",1.08,2,0.7,-0.792,"Consumer","West","Colorado","Binders                                           ","Office Supplies",28,"Sonntag",9,2014,4,"Samstag",10,2014,6
"4014","First Class",1.44,1,0.2,0.504,"Consumer","West","California","Binders                                           ","Office Supplies",1,"Samstag",10,2016,2,"Sonntag",10,2016,1
"4015","Standard Class",4.32,3,0.2,1.512,"Corporate","West","California","Binders                                           ","Office Supplies",26,"Dienstag",11,2013,1,"Sonntag",12,2013,5
"4016","Standard Class",437.472,14,0.2,153.1152,"Home Office","West","California","Binders                                           ","Office Supplies",7,"Montag",12,2015,11,"Freitag",12,2015,4
"4017","Second Class",139.44,3,0.2,47.061,"Consumer","East","New York","Binders                                           ","Office Supplies",23,"Montag",9,2013,28,"Samstag",9,2013,5
"4018","Second Class",92.96,2,0.2,31.374,"Consumer","West","California","Binders                                           ","Office Supplies",17,"Mittwoch",12,2014,19,"Freitag",12,2014,2
"4019","Standard Class",34.86,2,0.7,-26.726,"Home Office","South","Florida","Binders                                           ","Office Supplies",21,"Samstag",2,2015,25,"Mittwoch",2,2015,4
"4020","Second Class",232.4,5,0.2,78.435,"Consumer","East","New York","Binders                                           ","Office Supplies",5,"Freitag",12,2014,9,"Dienstag",12,2014,4
"4021","Standard Class",232.4,5,0.2,78.435,"Consumer","East","New York","Binders                                           ","Office Supplies",18,"Freitag",9,2015,23,"Mittwoch",9,2015,5
"4022","Same Day",234.36,6,0,112.4928,"Corporate","South","Mississippi","Binders                                           ","Office Supplies",5,"Samstag",3,2016,5,"Samstag",3,2016,0
"4023","Standard Class",104.58,6,0.7,-80.178,"Corporate","East","Pennsylvania","Binders                                           ","Office Supplies",4,"Sonntag",1,2015,8,"Donnerstag",1,2015,4
"4024","First Class",185.92,4,0.2,62.748,"Consumer","West","California","Binders                                           ","Office Supplies",25,"Freitag",3,2016,26,"Samstag",3,2016,1
"4025","Standard Class",15.624,2,0.8,-24.9984,"Consumer","Central","Texas","Binders                                           ","Office Supplies",27,"Sonntag",9,2015,2,"Freitag",10,2015,5
"4026","First Class",62.496,2,0.2,21.8736,"Consumer","West","California","Binders                                           ","Office Supplies",3,"Samstag",5,2014,6,"Dienstag",5,2014,3
"4027","Standard Class",174.3,3,0,81.921,"Consumer","East","Maryland","Binders                                           ","Office Supplies",13,"Sonntag",3,2016,17,"Donnerstag",3,2016,4
"4028","Standard Class",104.58,9,0.8,-172.557,"Home Office","Central","Illinois","Binders                                           ","Office Supplies",11,"Samstag",5,2013,15,"Mittwoch",5,2013,4
"4029","First Class",17.43,1,0.7,-13.363,"Consumer","South","Florida","Binders                                           ","Office Supplies",9,"Samstag",4,2016,11,"Montag",4,2016,2
"4030","Standard Class",2.934,3,0.8,-4.9878,"Consumer","Central","Texas","Binders                                           ","Office Supplies",21,"Donnerstag",4,2016,27,"Mittwoch",4,2016,6
"4031","Standard Class",3.912,1,0.2,1.2714,"Corporate","West","California","Binders                                           ","Office Supplies",3,"Freitag",6,2016,7,"Dienstag",6,2016,4
"4032","Standard Class",14.67,3,0,6.7482,"Consumer","Central","Michigan","Binders                                           ","Office Supplies",23,"Samstag",11,2013,27,"Mittwoch",11,2013,4
