shipmode,sales,quantity,discount_pct,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_weekday,shipdate_month,shipdate_year,preparationtime,order_date,ship_date,profit_pct
Standard Class,26.388,4,70.0,-17.592,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,3,Tuesday,5,2016,8,Sunday,5,2016,5,2016-05-03,2016-05-08,-66.66666666666666
Standard Class,140.736,8,20.0,52.776,Home Office,West,California,Binders                                           ,Office Supplies,6,Monday,5,2013,10,Friday,5,2013,4,2013-05-06,2013-05-10,37.50000000000001
Standard Class,13.194,2,70.0,-8.796,Consumer,East,Pennsylvania,Binders                                           ,Office Supplies,5,Tuesday,11,2013,10,Sunday,11,2013,5,2013-11-05,2013-11-10,-66.66666666666666
Second Class,21.99,5,80.0,-32.985,Consumer,Central,Texas,Binders                                           ,Office Supplies,14,Monday,11,2016,16,Wednesday,11,2016,2,2016-11-14,2016-11-16,-150.0
Standard Class,9.396,3,70.0,-7.5168,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,4,Wednesday,5,2016,10,Tuesday,5,2016,6,2016-05-04,2016-05-10,-80.0
First Class,10.44,1,0.0,4.8024,Home Office,South,Virginia,Binders                                           ,Office Supplies,26,Sunday,7,2015,27,Monday,7,2015,1,2015-07-26,2015-07-27,46.0
First Class,50.112,6,20.0,16.2864,Corporate,East,New York,Binders                                           ,Office Supplies,22,Friday,8,2014,25,Monday,8,2014,3,2014-08-22,2014-08-25,32.5
Standard Class,31.32,10,70.0,-25.056,Consumer,West,Oregon,Binders                                           ,Office Supplies,23,Wednesday,12,2015,29,Tuesday,12,2015,6,2015-12-23,2015-12-29,-80.0
Standard Class,20.88,2,0.0,9.6048,Corporate,East,Connecticut,Binders                                           ,Office Supplies,19,Friday,7,2013,24,Wednesday,7,2013,5,2013-07-19,2013-07-24,46.0
First Class,15.66,5,70.0,-12.528,Corporate,South,North Carolina,Binders                                           ,Office Supplies,3,Sunday,1,2016,5,Tuesday,1,2016,2,2016-01-03,2016-01-05,-80.0
Standard Class,61.04,4,0.0,30.52,Corporate,East,Massachusetts,Binders                                           ,Office Supplies,26,Wednesday,11,2014,30,Sunday,11,2014,4,2014-11-26,2014-11-30,50.0
First Class,45.78,3,0.0,22.89,Corporate,East,Rhode Island,Binders                                           ,Office Supplies,12,Monday,9,2016,15,Thursday,9,2016,3,2016-09-12,2016-09-15,50.0
Standard Class,18.312,4,70.0,-12.208,Home Office,East,Pennsylvania,Binders                                           ,Office Supplies,7,Saturday,6,2014,11,Wednesday,6,2014,4,2014-06-07,2014-06-11,-66.66666666666666
Standard Class,9.156,2,70.0,-6.104,Home Office,West,Arizona,Binders                                           ,Office Supplies,18,Wednesday,6,2014,23,Monday,6,2014,5,2014-06-18,2014-06-23,-66.66666666666666
Standard Class,36.624,8,70.0,-24.416,Corporate,West,Colorado,Binders                                           ,Office Supplies,2,Friday,12,2016,6,Tuesday,12,2016,4,2016-12-02,2016-12-06,-66.66666666666666
First Class,36.624,3,20.0,13.734,Consumer,West,California,Binders                                           ,Office Supplies,13,Monday,4,2015,15,Wednesday,4,2015,2,2015-04-13,2015-04-15,37.5
Second Class,76.3,5,0.0,38.15,Corporate,South,Kentucky,Binders                                           ,Office Supplies,31,Wednesday,12,2014,3,Saturday,1,2015,3,2014-12-31,2015-01-03,50.0
First Class,18.312,4,70.0,-12.208,Consumer,East,Pennsylvania,Binders                                           ,Office Supplies,14,Wednesday,9,2016,15,Thursday,9,2016,1,2016-09-14,2016-09-15,-66.66666666666666
Standard Class,9.156,3,80.0,-13.734,Corporate,Central,Texas,Binders                                           ,Office Supplies,2,Wednesday,4,2014,7,Monday,4,2014,5,2014-04-02,2014-04-07,-150.0
First Class,36.624,3,20.0,13.734,Consumer,West,California,Binders                                           ,Office Supplies,13,Friday,6,2014,14,Saturday,6,2014,1,2014-06-13,2014-06-14,37.5
First Class,6.104,2,80.0,-9.156,Corporate,Central,Texas,Binders                                           ,Office Supplies,23,Wednesday,11,2016,26,Saturday,11,2016,3,2016-11-23,2016-11-26,-150.0
Standard Class,4.47,3,80.0,-7.8225,Home Office,Central,Texas,Binders                                           ,Office Supplies,5,Friday,9,2014,11,Thursday,9,2014,6,2014-09-05,2014-09-11,-175.0
Standard Class,29.8,5,20.0,9.3125,Corporate,West,California,Binders                                           ,Office Supplies,11,Monday,7,2016,16,Saturday,7,2016,5,2016-07-11,2016-07-16,31.25
Standard Class,17.88,3,20.0,5.5875,Consumer,East,New York,Binders                                           ,Office Supplies,24,Saturday,12,2016,29,Thursday,12,2016,5,2016-12-24,2016-12-29,31.250000000000007
Standard Class,10.43,7,80.0,-18.2525,Consumer,Central,Texas,Binders                                           ,Office Supplies,7,Monday,1,2013,12,Saturday,1,2013,5,2013-01-07,2013-01-12,-175.00000000000003
Second Class,29.8,5,20.0,9.3125,Corporate,West,California,Binders                                           ,Office Supplies,31,Friday,10,2014,4,Tuesday,11,2014,4,2014-10-31,2014-11-04,31.25
Standard Class,29.8,5,20.0,9.3125,Consumer,East,New York,Binders                                           ,Office Supplies,30,Monday,3,2015,3,Friday,4,2015,4,2015-03-30,2015-04-03,31.25
Standard Class,6.874,7,80.0,-10.6547,Corporate,Central,Texas,Binders                                           ,Office Supplies,18,Wednesday,5,2016,23,Monday,5,2016,5,2016-05-18,2016-05-23,-155.0
Standard Class,7.856,2,20.0,2.8478,Consumer,East,New York,Binders                                           ,Office Supplies,3,Sunday,11,2013,7,Thursday,11,2013,4,2013-11-03,2013-11-07,36.25
Standard Class,5.892,4,70.0,-4.1244,Home Office,East,Pennsylvania,Binders                                           ,Office Supplies,17,Tuesday,9,2013,21,Saturday,9,2013,4,2013-09-17,2013-09-21,-69.99999999999999
Second Class,4.419,3,70.0,-3.0933,Corporate,South,Florida,Binders                                           ,Office Supplies,10,Sunday,4,2016,14,Thursday,4,2016,4,2016-04-10,2016-04-14,-70.0
Standard Class,15.712,4,20.0,5.6956,Consumer,West,Washington,Binders                                           ,Office Supplies,18,Tuesday,8,2015,22,Saturday,8,2015,4,2015-08-18,2015-08-22,36.25
Second Class,2.946,2,70.0,-2.0622,Corporate,South,Tennessee,Binders                                           ,Office Supplies,10,Thursday,12,2015,15,Tuesday,12,2015,5,2015-12-10,2015-12-15,-69.99999999999999
Standard Class,35.352,9,20.0,12.8151,Corporate,West,Washington,Binders                                           ,Office Supplies,10,Friday,4,2015,14,Tuesday,4,2015,4,2015-04-10,2015-04-14,36.25
Standard Class,34.37,7,0.0,16.8413,Corporate,Central,Indiana,Binders                                           ,Office Supplies,3,Saturday,10,2015,10,Saturday,10,2015,7,2015-10-03,2015-10-10,49.00000000000001
Same Day,2.946,2,70.0,-2.0622,Consumer,East,Pennsylvania,Binders                                           ,Office Supplies,25,Thursday,9,2014,25,Thursday,9,2014,0,2014-09-25,2014-09-25,-69.99999999999999
Standard Class,2.946,2,70.0,-2.0622,Consumer,South,Tennessee,Binders                                           ,Office Supplies,22,Saturday,11,2014,27,Thursday,11,2014,5,2014-11-22,2014-11-27,-69.99999999999999
Second Class,11.784,3,20.0,4.2717,Corporate,West,Utah,Binders                                           ,Office Supplies,17,Saturday,9,2016,21,Wednesday,9,2016,4,2016-09-17,2016-09-21,36.25
Standard Class,590.352,6,20.0,206.6232,Corporate,East,New York,Binders                                           ,Office Supplies,3,Wednesday,12,2014,7,Sunday,12,2014,4,2014-12-03,2014-12-07,35.0
Second Class,590.352,6,20.0,206.6232,Home Office,West,California,Binders                                           ,Office Supplies,2,Wednesday,11,2016,4,Friday,11,2016,2,2016-11-02,2016-11-04,35.0
Standard Class,29.94,4,70.0,-23.952,Corporate,East,Ohio,Binders                                           ,Office Supplies,5,Thursday,12,2013,9,Monday,12,2013,4,2013-12-05,2013-12-09,-80.0
Standard Class,39.92,2,20.0,12.974,Consumer,West,California,Binders                                           ,Office Supplies,10,Thursday,7,2014,14,Monday,7,2014,4,2014-07-10,2014-07-14,32.5
Same Day,37.425,5,70.0,-29.94,Consumer,South,Florida,Binders                                           ,Office Supplies,29,Thursday,10,2015,29,Thursday,10,2015,0,2015-10-29,2015-10-29,-80.0
Standard Class,44.91,6,70.0,-35.928,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,6,Saturday,4,2013,10,Wednesday,4,2013,4,2013-04-06,2013-04-10,-80.0
Standard Class,124.75,5,0.0,57.385,Consumer,South,Kentucky,Binders                                           ,Office Supplies,16,Sunday,10,2016,21,Friday,10,2016,5,2016-10-16,2016-10-21,46.0
First Class,6.688,2,20.0,2.3408,Consumer,East,New York,Binders                                           ,Office Supplies,7,Sunday,12,2014,9,Tuesday,12,2014,2,2014-12-07,2014-12-09,35.0
Standard Class,6.27,5,70.0,-4.598,Consumer,West,Arizona,Binders                                           ,Office Supplies,13,Friday,11,2015,20,Friday,11,2015,7,2015-11-13,2015-11-20,-73.33333333333334
Standard Class,0.836,1,80.0,-1.3376,Corporate,Central,Illinois,Binders                                           ,Office Supplies,22,Monday,6,2015,26,Friday,6,2015,4,2015-06-22,2015-06-26,-160.0
Standard Class,13.376,4,20.0,4.6816,Home Office,West,California,Binders                                           ,Office Supplies,7,Monday,12,2015,11,Friday,12,2015,4,2015-12-07,2015-12-11,35.0
Second Class,20.064,6,20.0,7.0224,Corporate,West,California,Binders                                           ,Office Supplies,19,Saturday,10,2013,22,Tuesday,10,2013,3,2013-10-19,2013-10-22,35.0
Standard Class,3.762,3,70.0,-2.7588,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,16,Saturday,8,2014,20,Wednesday,8,2014,4,2014-08-16,2014-08-20,-73.33333333333333
Standard Class,2.508,2,70.0,-1.8392,Consumer,South,Tennessee,Binders                                           ,Office Supplies,15,Friday,1,2016,19,Tuesday,1,2016,4,2016-01-15,2016-01-19,-73.33333333333333
Second Class,33.44,10,20.0,11.704,Corporate,West,Washington,Binders                                           ,Office Supplies,22,Saturday,8,2015,25,Tuesday,8,2015,3,2015-08-22,2015-08-25,35.0
Standard Class,3.762,3,70.0,-2.7588,Home Office,South,Florida,Binders                                           ,Office Supplies,21,Saturday,2,2015,25,Wednesday,2,2015,4,2015-02-21,2015-02-25,-73.33333333333333
Standard Class,1.344,4,80.0,-2.1504,Corporate,Central,Texas,Binders                                           ,Office Supplies,12,Friday,6,2015,18,Thursday,6,2015,6,2015-06-12,2015-06-18,-160.0
First Class,6.72,5,20.0,2.352,Consumer,West,California,Binders                                           ,Office Supplies,6,Wednesday,5,2015,9,Saturday,5,2015,3,2015-05-06,2015-05-09,35.0
Second Class,1.344,1,20.0,0.4704,Consumer,West,Washington,Binders                                           ,Office Supplies,18,Friday,10,2013,23,Wednesday,10,2013,5,2013-10-18,2013-10-23,35.0
Standard Class,1.68,5,80.0,-2.688,Corporate,Central,Illinois,Binders                                           ,Office Supplies,28,Wednesday,12,2016,1,Sunday,1,2017,4,2016-12-28,2017-01-01,-160.0
Standard Class,68.48,2,20.0,25.68,Consumer,East,New York,Binders                                           ,Office Supplies,8,Saturday,6,2013,13,Thursday,6,2013,5,2013-06-08,2013-06-13,37.5
Standard Class,128.4,3,0.0,64.2,Consumer,Central,Indiana,Binders                                           ,Office Supplies,5,Thursday,3,2015,9,Monday,3,2015,4,2015-03-05,2015-03-09,50.0
Standard Class,171.2,5,20.0,64.2,Consumer,West,California,Binders                                           ,Office Supplies,8,Tuesday,3,2016,15,Tuesday,3,2016,7,2016-03-08,2016-03-15,37.50000000000001
Standard Class,136.96,4,20.0,51.36,Consumer,West,Washington,Binders                                           ,Office Supplies,28,Tuesday,5,2013,1,Saturday,6,2013,4,2013-05-28,2013-06-01,37.5
Standard Class,64.2,5,70.0,-42.8,Consumer,South,Florida,Binders                                           ,Office Supplies,9,Monday,6,2014,16,Monday,6,2014,7,2014-06-09,2014-06-16,-66.66666666666666
Standard Class,2.313,1,70.0,-1.9275,Consumer,East,Ohio,Binders                                           ,Office Supplies,4,Wednesday,5,2016,9,Monday,5,2016,5,2016-05-04,2016-05-09,-83.33333333333333
Standard Class,7.71,1,0.0,3.4695,Corporate,Central,Iowa,Binders                                           ,Office Supplies,31,Sunday,1,2016,6,Saturday,2,2016,6,2016-01-31,2016-02-06,45.0
Standard Class,15.42,2,0.0,6.939,Home Office,South,Mississippi,Binders                                           ,Office Supplies,21,Monday,12,2015,25,Friday,12,2015,4,2015-12-21,2015-12-25,45.0
Second Class,4.626,2,70.0,-3.855,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,19,Friday,6,2015,21,Sunday,6,2015,2,2015-06-19,2015-06-21,-83.33333333333333
Standard Class,24.672,4,20.0,7.71,Corporate,East,New York,Binders                                           ,Office Supplies,24,Wednesday,8,2016,29,Monday,8,2016,5,2016-08-24,2016-08-29,31.25
Standard Class,30.84,5,20.0,9.6375,Consumer,West,California,Binders                                           ,Office Supplies,9,Wednesday,3,2016,13,Sunday,3,2016,4,2016-03-09,2016-03-13,31.25
First Class,30.84,4,0.0,13.878,Consumer,East,Delaware,Binders                                           ,Office Supplies,13,Saturday,6,2015,16,Tuesday,6,2015,3,2015-06-13,2015-06-16,45.0
First Class,37.008,6,20.0,11.565,Home Office,East,New York,Binders                                           ,Office Supplies,27,Saturday,8,2016,30,Tuesday,8,2016,3,2016-08-27,2016-08-30,31.249999999999993
Standard Class,43.176,7,20.0,13.4925,Consumer,West,Washington,Binders                                           ,Office Supplies,30,Monday,9,2013,4,Friday,10,2013,4,2013-09-30,2013-10-04,31.25
Standard Class,18.504,3,20.0,5.7825,Consumer,West,California,Binders                                           ,Office Supplies,9,Sunday,6,2013,14,Friday,6,2013,5,2013-06-09,2013-06-14,31.249999999999993
Standard Class,2793.528,9,20.0,942.8157,Corporate,West,Washington,Binders                                           ,Office Supplies,18,Thursday,8,2016,25,Thursday,8,2016,7,2016-08-18,2016-08-25,33.75
Standard Class,931.176,3,20.0,314.2719,Corporate,East,New York,Binders                                           ,Office Supplies,10,Thursday,11,2016,16,Wednesday,11,2016,6,2016-11-10,2016-11-16,33.75
Standard Class,387.99,1,0.0,182.3553,Corporate,East,Massachusetts,Binders                                           ,Office Supplies,19,Friday,8,2016,23,Tuesday,8,2016,4,2016-08-19,2016-08-23,47.0
Same Day,931.176,3,20.0,314.2719,Corporate,West,California,Binders                                           ,Office Supplies,26,Monday,9,2016,26,Monday,9,2016,0,2016-09-26,2016-09-26,33.75
Standard Class,2715.93,7,0.0,1276.4871,Corporate,South,Virginia,Binders                                           ,Office Supplies,21,Tuesday,5,2013,25,Saturday,5,2013,4,2013-05-21,2013-05-25,47.0
Standard Class,310.392,4,80.0,-512.1468,Consumer,Central,Texas,Binders                                           ,Office Supplies,19,Saturday,4,2014,25,Friday,4,2014,6,2014-04-19,2014-04-25,-165.0
Standard Class,29.12,5,20.0,9.828,Home Office,West,California,Binders                                           ,Office Supplies,6,Friday,11,2015,11,Wednesday,11,2015,5,2015-11-06,2015-11-11,33.75
Standard Class,36.4,5,0.0,17.108,Consumer,South,Georgia,Binders                                           ,Office Supplies,15,Wednesday,7,2015,20,Monday,7,2015,5,2015-07-15,2015-07-20,47.0
First Class,34.944,6,20.0,11.7936,Corporate,East,New York,Binders                                           ,Office Supplies,15,Saturday,11,2014,17,Monday,11,2014,2,2014-11-15,2014-11-17,33.75
Standard Class,43.584,12,20.0,15.7992,Consumer,West,California,Binders                                           ,Office Supplies,4,Wednesday,11,2015,9,Monday,11,2015,5,2015-11-04,2015-11-09,36.25
Second Class,10.896,3,20.0,3.9498,Consumer,West,California,Binders                                           ,Office Supplies,21,Monday,3,2016,23,Wednesday,3,2016,2,2016-03-21,2016-03-23,36.25
Standard Class,27.24,6,0.0,13.3476,Consumer,Central,Iowa,Binders                                           ,Office Supplies,4,Wednesday,11,2015,11,Wednesday,11,2015,7,2015-11-04,2015-11-11,49.00000000000001
Standard Class,10.896,3,20.0,3.9498,Consumer,East,New York,Binders                                           ,Office Supplies,3,Friday,5,2013,10,Friday,5,2013,7,2013-05-03,2013-05-10,36.25
Standard Class,2.724,2,70.0,-1.9068,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,16,Saturday,8,2014,20,Wednesday,8,2014,4,2014-08-16,2014-08-20,-70.0
First Class,18.16,5,20.0,6.583,Home Office,West,California,Binders                                           ,Office Supplies,18,Sunday,10,2015,21,Wednesday,10,2015,3,2015-10-18,2015-10-21,36.25
Standard Class,2.724,3,80.0,-4.2222,Consumer,Central,Texas,Binders                                           ,Office Supplies,24,Sunday,8,2014,28,Thursday,8,2014,4,2014-08-24,2014-08-28,-154.99999999999997
First Class,62.31,3,0.0,29.2857,Home Office,South,Virginia,Binders                                           ,Office Supplies,20,Friday,12,2013,21,Saturday,12,2013,1,2013-12-20,2013-12-21,47.0
Standard Class,31.155,5,70.0,-23.8855,Home Office,East,Pennsylvania,Binders                                           ,Office Supplies,22,Wednesday,6,2016,28,Tuesday,6,2016,6,2016-06-22,2016-06-28,-76.66666666666666
Standard Class,149.544,9,20.0,50.4711,Corporate,East,New York,Binders                                           ,Office Supplies,6,Thursday,6,2013,11,Tuesday,6,2013,5,2013-06-06,2013-06-11,33.75
First Class,49.848,3,20.0,16.8237,Corporate,East,New York,Binders                                           ,Office Supplies,20,Thursday,3,2014,23,Sunday,3,2014,3,2014-03-20,2014-03-23,33.75
Standard Class,49.848,3,20.0,16.8237,Corporate,East,New York,Binders                                           ,Office Supplies,11,Wednesday,11,2015,15,Sunday,11,2015,4,2015-11-11,2015-11-15,33.75
Standard Class,99.696,6,20.0,33.6474,Home Office,West,Washington,Binders                                           ,Office Supplies,22,Friday,1,2016,26,Tuesday,1,2016,4,2016-01-22,2016-01-26,33.75
Same Day,68.541,11,70.0,-52.5481,Consumer,South,North Carolina,Binders                                           ,Office Supplies,6,Friday,5,2016,6,Friday,5,2016,0,2016-05-06,2016-05-06,-76.66666666666667
Same Day,18.693,3,70.0,-14.3313,Corporate,East,Ohio,Binders                                           ,Office Supplies,13,Sunday,12,2015,13,Sunday,12,2015,0,2015-12-13,2015-12-13,-76.66666666666666
Standard Class,41.54,2,0.0,19.5238,Corporate,Central,Michigan,Binders                                           ,Office Supplies,9,Friday,12,2016,13,Tuesday,12,2016,4,2016-12-09,2016-12-13,47.0
Second Class,12.462,3,80.0,-20.5623,Corporate,Central,Illinois,Binders                                           ,Office Supplies,7,Friday,6,2013,10,Monday,6,2013,3,2013-06-07,2013-06-10,-165.0
Standard Class,77.031,9,70.0,-59.0571,Corporate,West,Arizona,Binders                                           ,Office Supplies,26,Friday,9,2014,30,Tuesday,9,2014,4,2014-09-26,2014-09-30,-76.66666666666666
Standard Class,159.768,7,20.0,53.9217,Corporate,West,Nevada,Binders                                           ,Office Supplies,1,Friday,1,2016,7,Thursday,1,2016,6,2016-01-01,2016-01-07,33.75
Standard Class,8.559,1,70.0,-6.5619,Consumer,West,Arizona,Binders                                           ,Office Supplies,21,Friday,10,2016,28,Friday,10,2016,7,2016-10-21,2016-10-28,-76.66666666666667
First Class,34.236,4,70.0,-26.2476,Home Office,South,Tennessee,Binders                                           ,Office Supplies,2,Sunday,10,2016,5,Wednesday,10,2016,3,2016-10-02,2016-10-05,-76.66666666666667
Standard Class,59.913,7,70.0,-45.9333,Consumer,East,Ohio,Binders                                           ,Office Supplies,19,Saturday,11,2016,25,Friday,11,2016,6,2016-11-19,2016-11-25,-76.66666666666667
Standard Class,296.712,13,20.0,100.1403,Home Office,East,New York,Binders                                           ,Office Supplies,22,Sunday,12,2013,26,Thursday,12,2013,4,2013-12-22,2013-12-26,33.75
Second Class,68.472,3,20.0,23.1093,Home Office,East,New York,Binders                                           ,Office Supplies,30,Wednesday,11,2016,2,Friday,12,2016,2,2016-11-30,2016-12-02,33.75
Same Day,122.688,9,20.0,39.8736,Consumer,West,California,Binders                                           ,Office Supplies,12,Saturday,12,2015,12,Saturday,12,2015,0,2015-12-12,2015-12-12,32.5
Second Class,34.08,2,0.0,15.6768,Consumer,East,Rhode Island,Binders                                           ,Office Supplies,31,Thursday,10,2013,2,Saturday,11,2013,2,2013-10-31,2013-11-02,46.0
Standard Class,35.784,7,70.0,-28.6272,Home Office,South,North Carolina,Binders                                           ,Office Supplies,22,Friday,1,2016,27,Wednesday,1,2016,5,2016-01-22,2016-01-27,-80.0
First Class,6.816,2,80.0,-11.5872,Corporate,Central,Texas,Binders                                           ,Office Supplies,27,Sunday,9,2015,28,Monday,9,2015,1,2015-09-27,2015-09-28,-170.0
Standard Class,27.264,2,20.0,8.8608,Consumer,West,California,Binders                                           ,Office Supplies,8,Thursday,10,2015,14,Wednesday,10,2015,6,2015-10-08,2015-10-14,32.5
Second Class,25.56,5,70.0,-20.448,Consumer,East,Ohio,Binders                                           ,Office Supplies,4,Sunday,9,2016,9,Friday,9,2016,5,2016-09-04,2016-09-09,-80.0
Standard Class,153.36,9,0.0,70.5456,Consumer,East,Maryland,Binders                                           ,Office Supplies,9,Wednesday,7,2014,14,Monday,7,2014,5,2014-07-09,2014-07-14,45.99999999999999
Standard Class,81.792,6,20.0,26.5824,Corporate,West,California,Binders                                           ,Office Supplies,28,Sunday,9,2014,5,Sunday,10,2014,7,2014-09-28,2014-10-05,32.5
Standard Class,17.3,1,0.0,8.304,Corporate,Central,Michigan,Binders                                           ,Office Supplies,26,Thursday,11,2015,30,Monday,11,2015,4,2015-11-26,2015-11-30,48.0
Second Class,13.84,4,80.0,-22.144,Corporate,Central,Illinois,Binders                                           ,Office Supplies,23,Friday,12,2016,25,Sunday,12,2016,2,2016-12-23,2016-12-25,-160.0
Standard Class,15.57,3,70.0,-11.418,Home Office,South,Florida,Binders                                           ,Office Supplies,24,Saturday,9,2016,29,Thursday,9,2016,5,2016-09-24,2016-09-29,-73.33333333333333
Second Class,55.36,4,20.0,19.376,Home Office,West,Washington,Binders                                           ,Office Supplies,23,Wednesday,12,2015,25,Friday,12,2015,2,2015-12-23,2015-12-25,35.0
Standard Class,10.38,2,70.0,-7.612,Corporate,South,Florida,Binders                                           ,Office Supplies,15,Friday,5,2015,20,Wednesday,5,2015,5,2015-05-15,2015-05-20,-73.33333333333333
Standard Class,27.68,2,20.0,9.688,Consumer,West,Washington,Binders                                           ,Office Supplies,8,Sunday,11,2015,12,Thursday,11,2015,4,2015-11-08,2015-11-12,35.0
Standard Class,34.6,2,0.0,16.608,Consumer,South,Virginia,Binders                                           ,Office Supplies,18,Wednesday,6,2014,24,Tuesday,6,2014,6,2014-06-18,2014-06-24,48.0
Second Class,13.344,6,20.0,4.3368,Consumer,West,California,Binders                                           ,Office Supplies,4,Sunday,9,2016,6,Tuesday,9,2016,2,2016-09-04,2016-09-06,32.5
Second Class,2.502,3,70.0,-2.0016,Consumer,East,Ohio,Binders                                           ,Office Supplies,13,Friday,9,2013,18,Wednesday,9,2013,5,2013-09-13,2013-09-18,-80.0
Standard Class,6.672,3,20.0,2.1684,Home Office,West,California,Binders                                           ,Office Supplies,31,Wednesday,8,2016,4,Sunday,9,2016,4,2016-08-31,2016-09-04,32.5
Same Day,1.112,2,80.0,-1.8904,Consumer,Central,Texas,Binders                                           ,Office Supplies,10,Monday,3,2014,10,Monday,3,2014,0,2014-03-10,2014-03-10,-170.0
First Class,2.502,3,70.0,-2.0016,Consumer,East,Pennsylvania,Binders                                           ,Office Supplies,11,Friday,7,2014,13,Sunday,7,2014,2,2014-07-11,2014-07-13,-80.0
Standard Class,7.506,9,70.0,-6.0048,Consumer,South,Florida,Binders                                           ,Office Supplies,23,Wednesday,9,2015,27,Sunday,9,2015,4,2015-09-23,2015-09-27,-80.0
Standard Class,4.448,2,20.0,1.4456,Consumer,West,California,Binders                                           ,Office Supplies,14,Thursday,7,2016,18,Monday,7,2016,4,2016-07-14,2016-07-18,32.49999999999999
Same Day,0.556,1,80.0,-0.9452,Corporate,Central,Texas,Binders                                           ,Office Supplies,2,Wednesday,3,2016,2,Wednesday,3,2016,0,2016-03-02,2016-03-02,-170.0
Second Class,5.18,5,80.0,-8.029,Consumer,Central,Texas,Binders                                           ,Office Supplies,12,Thursday,9,2013,16,Monday,9,2013,4,2013-09-12,2013-09-16,-155.0
Standard Class,45.584,11,20.0,16.5242,Consumer,West,Nevada,Binders                                           ,Office Supplies,20,Saturday,9,2014,26,Friday,9,2014,6,2014-09-20,2014-09-26,36.25
Second Class,25.9,5,0.0,12.691,Home Office,Central,Iowa,Binders                                           ,Office Supplies,14,Sunday,9,2014,18,Thursday,9,2014,4,2014-09-14,2014-09-18,49.00000000000001
Standard Class,10.36,2,0.0,5.0764,Consumer,East,Connecticut,Binders                                           ,Office Supplies,8,Wednesday,6,2016,14,Tuesday,6,2016,6,2016-06-08,2016-06-14,49.0
Standard Class,8.288,2,20.0,3.0044,Consumer,West,Nevada,Binders                                           ,Office Supplies,20,Friday,5,2016,26,Thursday,5,2016,6,2016-05-20,2016-05-26,36.25
Standard Class,25.9,5,0.0,12.691,Home Office,Central,North Dakota,Binders                                           ,Office Supplies,28,Wednesday,12,2016,2,Monday,1,2017,5,2016-12-28,2017-01-02,49.00000000000001
Standard Class,6.216,6,80.0,-9.6348,Consumer,Central,Texas,Binders                                           ,Office Supplies,23,Monday,11,2015,28,Saturday,11,2015,5,2015-11-23,2015-11-28,-155.0
Standard Class,3.108,2,70.0,-2.1756,Home Office,West,Colorado,Binders                                           ,Office Supplies,25,Saturday,4,2015,29,Wednesday,4,2015,4,2015-04-25,2015-04-29,-70.0
Same Day,4.144,4,80.0,-6.4232,Home Office,Central,Texas,Binders                                           ,Office Supplies,4,Friday,11,2016,4,Friday,11,2016,0,2016-11-04,2016-11-04,-154.99999999999997
Standard Class,2.655,1,70.0,-1.8585,Corporate,East,Pennsylvania,Binders                                           ,Office Supplies,28,Wednesday,9,2016,5,Wednesday,10,2016,7,2016-09-28,2016-10-05,-70.0
Standard Class,26.55,3,0.0,13.0095,Consumer,East,Delaware,Binders                                           ,Office Supplies,15,Friday,7,2016,19,Tuesday,7,2016,4,2016-07-15,2016-07-19,48.99999999999999
Standard Class,14.16,2,20.0,5.133,Corporate,East,New York,Binders                                           ,Office Supplies,15,Wednesday,7,2015,19,Sunday,7,2015,4,2015-07-15,2015-07-19,36.25
Standard Class,3.54,2,80.0,-5.487,Home Office,Central,Illinois,Binders                                           ,Office Supplies,4,Friday,1,2013,8,Tuesday,1,2013,4,2013-01-04,2013-01-08,-155.0
Standard Class,8.85,5,80.0,-13.7175,Consumer,Central,Illinois,Binders                                           ,Office Supplies,21,Thursday,2,2013,25,Monday,2,2013,4,2013-02-21,2013-02-25,-155.0
Second Class,15.36,2,0.0,7.68,Corporate,Central,Nebraska,Binders                                           ,Office Supplies,6,Sunday,10,2013,8,Tuesday,10,2013,2,2013-10-06,2013-10-08,50.0
Second Class,11.52,5,70.0,-7.68,Home Office,South,Florida,Binders                                           ,Office Supplies,10,Thursday,11,2016,14,Monday,11,2016,4,2016-11-10,2016-11-14,-66.66666666666666
First Class,7.68,5,80.0,-11.52,Home Office,Central,Texas,Binders                                           ,Office Supplies,3,Tuesday,9,2013,4,Wednesday,9,2013,1,2013-09-03,2013-09-04,-150.0
First Class,18.432,8,70.0,-12.288,Corporate,East,Ohio,Binders                                           ,Office Supplies,29,Saturday,8,2015,31,Monday,8,2015,2,2015-08-29,2015-08-31,-66.66666666666667
Second Class,116.4,8,0.0,52.38,Corporate,Central,Michigan,Binders                                           ,Office Supplies,31,Wednesday,12,2014,2,Friday,1,2015,2,2014-12-31,2015-01-02,45.0
First Class,17.46,6,80.0,-30.555,Consumer,Central,Illinois,Binders                                           ,Office Supplies,27,Monday,5,2013,30,Thursday,5,2013,3,2013-05-27,2013-05-30,-175.0
